"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"11","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.625,76.625,"SSP5-8.5","SST",0.01595419,0,0.096655307,0.529377717,0.954528864,0.245435877,0.231286617,0.185617124,0.069483451,0.824346653,0.374457373,0.021048693,0.160496803,0.249533335,0.404217121,0.367761434,0.322334043,0.3694319,0.427243977,0.507423792,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"12","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,76.625,"SSP5-8.5","SST",0.01605674,0,0.083358475,0.525477095,0.954528864,0.245435877,0.231286617,0.187196066,0.069483451,0.824346653,0.356065496,0.03783019,0.156223077,0.248803826,0.404611856,0.367449304,0.321931447,0.364247941,0.426935129,0.511407398,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"13","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,76.625,"SSP5-8.5","SST",0.016185498,0,0.036591512,0.526239209,0.954528864,0.245435877,0.231286617,0.188585755,0.069483451,0.824346653,0.377976526,0.063785068,0.144754055,0.254763727,0.404959278,0.367175771,0.333897925,0.358403333,0.431340651,0.528990099,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","High"
"14","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.375,76.375,"SSP5-8.5","SST",0.015907237,0,0.420309042,0.497653068,0.954528864,0.245435877,0.231286617,0.181913412,0.069483451,0.824346653,0.397848604,0.040487692,0.233467337,0.26238859,0.403291193,0.368499194,0.3330416,0.365436401,0.430029996,0.416035851,"Low","Low","Moderate","Moderate","Low","High","Critical","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"15","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.125,76.375,"SSP5-8.5","SST",0.016422138,0,0.315446865,0.502039495,0.954528864,0.245435877,0.231286617,0.187093692,0.069483451,0.824346653,0.387493717,0.030196631,0.208477125,0.243563284,0.404586262,0.367469498,0.327880113,0.367612612,0.423882716,0.431715104,"Low","Low","Moderate","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"16","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.875,76.375,"SSP5-8.5","SST",0.016589603,0,0.192645992,0.50717986,0.954528864,0.245435877,0.231286617,0.187857968,0.069483451,0.824346653,0.351876147,0.034051424,0.179103864,0.235447324,0.404777331,0.367318883,0.319939419,0.365105806,0.421193522,0.465010989,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"17","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.625,76.375,"SSP5-8.5","SST",0.016199718,0,0.106542321,0.515898905,0.954528864,0.245435877,0.231286617,0.19293351,0.069483451,0.824346653,0.357364038,0.0273342,0.159660236,0.24207424,0.406046217,0.366327194,0.319632085,0.367048084,0.424145209,0.502341757,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"18","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,76.375,"SSP5-8.5","SST",0.016210168,0,0.072826388,0.530544075,0.954528864,0.245435877,0.231286617,0.189588519,0.069483451,0.824346653,0.365822475,0.047602795,0.154895158,0.252371042,0.405209969,0.366979087,0.326813843,0.362048942,0.42822404,0.514072915,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"19","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,76.375,"SSP5-8.5","SST",0.016436836,0,0.067361273,0.535233812,0.954528864,0.245435877,0.231286617,0.19023881,0.069483451,0.824346653,0.37193793,0.077271335,0.15475798,0.255266406,0.405372542,0.366851848,0.335759842,0.354845201,0.429724888,0.510725192,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"20","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.875,76.375,"SSP5-8.5","SST",0.016621782,0,0.052112328,0.536297938,0.954528864,0.245435877,0.231286617,0.190976651,0.069483451,0.824346653,0.320272999,0.097134901,0.151258012,0.257611796,0.405557002,0.366707774,0.327809501,0.349546879,0.428718929,0.520178311,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"21","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.375,76.125,"SSP5-8.5","SST",0.018083101,0,0.20154048,0.496795488,0.954528864,0.245435877,0.231286617,0.188643853,0.069483451,0.824346653,0.397848604,0.041678665,0.179104767,0.23053362,0.404973803,0.36716436,0.333339343,0.365118933,0.422093363,0.450676583,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"22","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.125,76.125,"SSP5-8.5","SST",0.018169345,0,0.119182297,0.500794536,0.954528864,0.245435877,0.231286617,0.189335775,0.069483451,0.824346653,0.382249688,0.054153796,0.159536544,0.233468111,0.405146783,0.367028606,0.332558397,0.361036684,0.424190789,0.483092517,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"23","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.875,76.125,"SSP5-8.5","SST",0.017830018,0,0.09689458,0.501471863,0.954528864,0.245435877,0.231286617,0.189868766,0.069483451,0.824346653,0.357364038,0.039755179,0.154049115,0.235411681,0.405280031,0.366924223,0.32273733,0.363789017,0.423906727,0.50076514,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"24","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.625,76.125,"SSP5-8.5","SST",0.017371491,0,0.11396077,0.511003258,0.954528864,0.245435877,0.231286617,0.194702297,0.069483451,0.824346653,0.370881329,0.076552696,0.16058388,0.23893125,0.406488414,0.365985102,0.335316032,0.354984161,0.424747454,0.483919049,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"25","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,76.125,"SSP5-8.5","SST",0.017014536,0,0.080538213,0.516676217,0.954528864,0.245435877,0.231286617,0.195292718,0.069483451,0.824346653,0.34075937,0.090259598,0.153557242,0.244547818,0.406636019,0.365871316,0.331212268,0.351109115,0.42581801,0.502413293,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"26","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,76.125,"SSP5-8.5","SST",0.016724602,0,0.063626669,0.528640823,0.954528864,0.245435877,0.231286617,0.195522375,0.069483451,0.824346653,0.34394564,0.109129145,0.152248024,0.252369664,0.406693433,0.365827111,0.336726222,0.346912541,0.428324199,0.509383537,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"27","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.875,76.125,"SSP5-8.5","SST",0.016770818,0,0.073956585,0.540655707,0.954528864,0.245435877,0.231286617,0.195610885,0.069483451,0.824346653,0.332954101,0.125981914,0.157845778,0.257162901,0.406715561,0.365810083,0.33819153,0.343322582,0.428512701,0.503000555,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
